t (s),x (cm),V (cm/s),a (cm/s^2)
0.13, 6.94, 0.00, -599.38
0.18, 6.84, -2.29, -50.91
0.22, 6.84, 0.00, 52.07
0.26, 5.62, -27.73, -630.13
0.31, 5.62, 0.00, 630.13
0.35, 5.64, 0.38, 8.49
0.40, 5.52, -2.73, -70.80
0.44, 6.84, 30.07, 745.51
0.49, 6.62, -5.08, -798.76
0.53, 6.84, 4.96, 223.12
0.57, 7.49, 14.84, 224.44
0.62, 7.92, 9.76, -115.38
0.66, 8.85, 20.62, 241.24
0.71, 9.64, 17.96, -60.35
0.75, 10.57, 20.62, 59.01
0.80, 12.63, 45.82, 560.01
0.84, 15.15, 57.40, 263.29
0.89, 17.68, 56.13, -28.35
0.93, 19.62, 41.31, -315.28
0.98, 23.01, 75.22, 753.54
1.02, 25.17, 48.11, -602.44
1.07, 27.71, 55.28, 155.91
1.12, 31.01, 71.72, 357.28
1.16, 35.50, 97.49, 560.29
1.21, 42.08, 143.06, 990.65
1.25, 42.90, 17.55, -2670.47
1.30, 46.44, 76.95, 1291.27
1.35, 50.95, 95.78, 400.75
1.39, 55.17, 88.06, -160.89
1.44, 59.45, 89.13, 22.37
1.49, 65.05, 116.70, 574.23
1.54, 70.57, 114.91, -37.29
1.59, 76.37, 120.99, 126.78
1.64, 82.32, 121.33, 6.86
1.68, 56.46, -550.19, -14287.67
1.73, 95.34, 777.66, 26557.14
1.78, 101.31, 116.91, -12956.03
1.83, 104.48, 63.57, -1066.64
