t (s),x (cm),V (cm/s),a (cm/s^2)
0.13, 4.36, 0.20, 23.23
0.17, 4.34, -0.35, -12.53
0.22, 4.34, 0.00, 7.99
0.26, 4.34, 0.00, 0.00
0.31, 4.56, 4.92, 111.83
0.35, 4.75, 4.45, -10.65
0.40, 4.97, 4.71, 5.54
0.44, 5.14, 3.98, -16.44
0.49, 5.14, 0.00, -90.53
0.53, 4.95, -4.45, -101.18
0.57, 4.82, -2.97, 33.73
0.62, 4.69, -2.90, 1.47
0.66, 4.56, -2.97, -1.50
0.71, 4.62, 1.48, 101.18
0.75, 4.69, 1.48, 0.00
0.79, 4.62, -1.48, -67.45
0.84, 4.82, 4.35, 129.70
0.88, 4.82, 0.00, -98.93
0.93, 4.88, 1.48, 33.73
0.97, 5.21, 7.34, 133.13
1.02, 6.31, 24.51, 381.59
1.06, 7.67, 30.16, 125.58
1.11, 9.85, 49.59, 441.58
1.15, 12.59, 59.69, 219.46
1.20, 15.83, 71.94, 272.15
1.24, 19.75, 85.16, 287.56
1.29, 23.85, 89.12, 86.07
?????????? ??????????
?????????? ??????????
?????????? ??????????
